temp_avg,dew_avg,humidity_avg,press_avg,visibility_avg,wind_avg,Events
10,-3,38,1017,10,5,No Rain
9,4,74,1016,9,5,Rain
8,-1,57,1020,10,6,No Rain
9,-5,41,1024,10,6,No Rain
12,-6,34,1024,10,8,No Rain
13,-7,26,1016,10,10,No Rain
16,0,40,1012,10,10,Rain
11,3,57,1012,10,6,No Rain
13,2,53,1011,10,10,Rain
9,-2,52,1016,10,8,No Rain
10,-3,39,1015,10,8,No Rain
10,-8,30,1022,10,14,No Rain
11,-1,45,1018,10,3,Rain
12,8,80,1010,9,5,Rain
13,6,66,1013,10,5,Rain
13,3,54,1016,10,5,No Rain
14,3,47,1016,10,6,No Rain
16,3,43,1015,10,6,No Rain
16,4,51,1014,10,6,Rain
13,-2,37,1018,10,5,No Rain
14,2,42,1017,10,3,No Rain
18,1,32,1015,10,10,No Rain
19,3,37,1011,10,6,No Rain
17,-1,31,1009,10,13,Rain
10,-5,36,1018,10,6,No Rain
10,-5,35,1026,10,8,No Rain
12,-2,36,1025,10,13,No Rain
12,-2,36,1025,10,13,No Rain
16,4,46,1017,10,6,No Rain
16,4,51,1016,10,6,No Rain
17,2,35,1016,10,8,No Rain
20,6,44,1016,10,16,Rain
18,9,59,1013,10,6,No Rain
17,8,62,1013,10,6,Rain
17,9,63,1014,10,3,No Rain
17,7,55,1013,10,8,No Rain
16,9,71,1014,10,3,Rain
18,7,58,1011,10,6,Rain
20,4,37,1012,10,13,Rain
19,6,42,1013,10,6,No Rain
21,8,47,1010,10,3,Rain
17,5,47,1016,10,8,No Rain
20,4,37,1016,10,11,No Rain
19,8,53,1013,10,8,Rain
17,12,76,1012,10,6,Rain
17,7,59,1013,8,5,No Rain
17,4,45,1015,10,5,No Rain
20,6,41,1014,10,10,No Rain
22,8,48,1011,10,10,Rain
21,7,47,1007,10,11,Rain
16,7,56,1008,10,11,Rain
17,5,46,1011,10,5,No Rain
17,7,58,1013,10,6,Rain
16,9,69,1014,9,6,Rain
17,8,58,1016,10,5,No Rain
19,6,42,1014,10,8,Rain
19,8,54,1013,10,8,Rain
19,6,47,1014,10,5,No Rain
20,6,39,1017,10,6,No Rain
23,6,35,1015,10,13,No Rain
23,2,27,1011,10,8,No Rain
19,4,41,1011,10,11,No Rain
19,6,45,1012,10,8,No Rain
19,4,39,1015,10,6,No Rain
20,6,38,1015,10,8,No Rain
24,8,34,1016,10,11,No Rain
24,7,35,1015,9,13,Rain
24,10,46,1012,10,6,No Rain
23,11,47,1012,10,6,No Rain
26,9,37,1011,10,11,No Rain
27,8,33,1007,10,11,No Rain
23,7,36,1007,10,5,No Rain
23,8,42,1010,10,6,Rain
23,8,44,1011,10,5,No Rain
27,8,34,1007,10,13,No Rain
23,7,37,1008,10,10,Rain
20,9,55,1012,10,5,Rain
19,6,44,1013,10,6,Rain
23,7,37,1009,10,10,No Rain
26,8,35,1007,10,6,No Rain
26,7,32,1005,10,6,Rain
21,7,40,1007,10,8,No Rain
20,9,53,1010,10,11,Rain
20,8,50,1014,10,6,No Rain
23,7,36,1013,10,11,No Rain
27,7,32,1012,10,11,No Rain
26,9,39,1015,10,11,No Rain
28,11,37,1013,10,13,No Rain
29,11,35,1009,10,11,No Rain
30,12,36,1009,10,18,No Rain
27,9,33,1010,10,18,Rain
26,9,34,1014,10,10,No Rain
28,6,25,1013,10,10,No Rain
29,9,30,1011,10,11,No Rain
32,9,26,1007,10,10,No Rain
30,13,35,1008,10,11,No Rain
28,13,41,1010,10,10,No Rain
26,12,47,1008,10,8,Rain
22,11,48,1010,10,8,No Rain
26,9,37,1010,10,11,No Rain
27,11,37,1012,10,14,No Rain
27,11,39,1013,10,14,No Rain
27,9,33,1012,9,18,No Rain
27,9,35,1009,10,14,Rain
24,11,46,1009,10,8,Rain
27,11,39,1009,10,13,Rain
28,10,33,1012,10,16,No Rain
28,10,31,1014,10,14,No Rain
30,9,29,1012,10,11,No Rain
32,8,23,1008,10,14,No Rain
30,7,24,1007,10,18,No Rain
29,8,27,1009,10,11,No Rain
31,8,26,1010,10,13,No Rain
29,9,29,1007,10,13,No Rain
28,11,36,1006,10,13,No Rain
27,10,36,1007,10,10,No Rain
27,10,40,1007,10,6,Rain
29,11,31,1009,10,11,No Rain
33,11,29,1009,10,11,No Rain
32,7,25,1009,10,6,No Rain
29,12,37,1011,10,10,No Rain
30,13,37,1013,10,10,Rain
27,11,33,1016,10,10,No Rain
31,11,30,1015,10,18,No Rain
31,11,30,1013,10,16,No Rain
30,10,29,1010,10,13,No Rain
33,8,24,1008,10,14,No Rain
33,8,24,1009,10,14,No Rain
32,7,21,1011,10,14,No Rain
31,6,21,1012,10,8,No Rain
31,7,22,1012,10,11,No Rain
32,8,22,1013,10,14,No Rain
31,9,27,1013,10,11,No Rain
31,10,29,1010,10,13,No Rain
31,9,27,1007,10,13,No Rain
29,11,32,1007,10,14,No Rain
30,10,30,1009,10,18,No Rain
25,12,44,1012,10,18,Rain
22,15,68,1014,10,5,Rain
23,15,59,1013,9,6,Rain
27,13,42,1013,10,10,No Rain
28,10,32,1013,10,16,No Rain
27,11,38,1011,10,11,No Rain
28,9,32,1008,10,11,No Rain
28,9,31,1008,10,13,No Rain
28,9,32,1013,10,10,No Rain
29,9,29,1014,10,19,No Rain
29,7,27,1013,10,21,No Rain
26,9,33,1012,10,18,No Rain
27,7,29,1010,10,11,No Rain
26,6,29,1008,10,5,No Rain
27,6,28,1008,10,8,No Rain
26,7,33,1011,10,6,No Rain
27,5,27,1010,10,6,No Rain
27,8,30,1009,10,11,No Rain
27,9,33,1011,10,13,No Rain
26,9,34,1013,10,8,No Rain
26,6,28,1014,10,10,No Rain
27,4,26,1009,10,8,No Rain
27,0,19,1009,10,10,No Rain
19,3,38,1019,10,5,No Rain
21,3,33,1017,10,3,No Rain
22,5,34,1015,10,5,No Rain
27,7,28,1015,10,16,No Rain
24,9,37,1017,10,11,No Rain
24,8,36,1016,10,10,No Rain
26,5,26,1016,10,11,No Rain
24,7,31,1016,10,8,No Rain
24,7,35,1016,10,8,No Rain
23,7,35,1018,10,5,No Rain
23,6,32,1018,10,8,No Rain
23,3,30,1016,10,6,No Rain
23,4,31,1016,10,6,No Rain
24,4,25,1015,10,6,No Rain
26,5,26,1012,10,8,No Rain
24,5,29,1013,10,13,No Rain
24,9,36,1016,10,13,No Rain
23,6,34,1019,10,14,No Rain
19,6,40,1017,10,5,No Rain
21,7,41,1014,10,10,No Rain
18,7,50,1016,10,5,Rain
17,4,43,1020,10,13,Rain
16,7,58,1018,10,3,Rain
18,8,55,1014,10,3,Rain
16,11,75,1015,10,5,Rain
14,8,70,1018,10,5,Rain
12,6,69,1022,9,6,No Rain
10,3,60,1022,10,3,No Rain
11,2,57,1019,10,5,No Rain
12,1,45,1018,10,5,No Rain
14,0,45,1016,10,3,No Rain
14,1,40,1014,10,6,No Rain
18,8,58,1015,10,5,Rain
14,8,70,1017,10,3,Rain
16,8,65,1018,10,3,Rain
14,7,73,1020,10,3,Rain
13,4,56,1017,10,6,No Rain
13,2,52,1016,10,6,No Rain
11,0,50,1013,10,8,Rain
13,-3,36,1019,10,26,No Rain
10,1,55,1024,10,5,No Rain
10,2,62,1023,9,2,No Rain
11,2,58,1020,9,3,No Rain
11,1,59,1018,9,3,No Rain
12,1,56,1014,10,3,No Rain
12,0,49,1016,10,5,No Rain
11,0,48,1019,10,5,No Rain
13,1,53,1022,10,2,No Rain
13,2,55,1019,9,2,No Rain
13,3,57,1017,9,3,No Rain
11,5,64,1016,10,5,Rain
10,9,94,1014,6,2,Rain
11,6,74,1008,6,3,No Rain
14,4,56,1011,10,11,Rain
11,7,79,1014,9,3,No Rain
8,-2,59,1019,10,3,No Rain
7,-2,61,1019,10,2,No Rain
8,2,69,1019,9,2,No Rain
10,3,69,1022,9,2,No Rain
9,3,70,1022,9,3,Rain
12,9,86,1023,5,3,Rain
10,9,95,1023,2,2,Rain
13,11,91,1020,7,3,Rain
10,9,91,1018,7,2,Rain
10,8,91,1018,5,2,No Rain
8,4,82,1021,7,3,No Rain
8,3,71,1022,9,3,No Rain
8,3,77,1021,8,2,No Rain
9,3,74,1021,8,2,No Rain
8,3,76,1023,7,3,No Rain
8,2,72,1023,8,2,No Rain
7,3,77,1023,6,3,No Rain
7,3,80,1021,5,2,Rain
9,7,85,1017,4,3,Rain
10,5,71,1009,9,6,No Rain
8,3,78,1006,9,14,Rain
3,-3,69,1012,10,3,Rain
1,-7,61,1016,10,3,No Rain
2,-7,58,1024,10,3,No Rain
1,-8,59,1026,10,3,No Rain
0,-6,66,1023,7,2,No Rain
3,-3,70,1023,5,2,No Rain
6,1,77,1021,4,2,Rain
7,3,84,1023,5,2,Rain
3,-1,78,1028,6,3,No Rain
2,-2,81,1031,5,2,No Rain
1,-2,83,1032,3,2,No Rain
0,-2,85,1030,3,2,No Rain
3,-1,79,1021,4,2,No Rain
1,0,87,1010,3,3,Rain
1,-3,81,1013,9,3,No Rain
0,-5,70,1020,10,3,No Rain
1,-4,76,1025,9,3,No Rain
-1,-4,79,1025,5,2,No Rain
-2,-4,83,1026,3,2,No Rain
0,-4,79,1029,4,2,No Rain
-1,-4,83,1027,3,2,No Rain
-1,-4,80,1022,3,2,No Rain
-1,-5,80,1022,3,2,No Rain
-1,-4,82,1025,3,2,No Rain
0,-4,80,1025,2,2,No Rain
0,-3,85,1025,2,2,No Rain
0,-3,86,1025,1,2,No Rain
-1,-1,94,1027,1,3,Rain
3,2,98,1027,0,2,Rain
2,2,97,1023,0,2,No Rain
6,4,97,1014,2,2,Rain
8,6,83,1007,9,5,Rain
6,-3,59,1015,10,10,No Rain
3,-4,66,1026,10,3,No Rain
2,-3,75,1029,7,2,No Rain
0,-3,81,1027,5,0,No Rain
2,-2,78,1026,5,2,No Rain
3,-1,79,1022,4,2,No Rain
6,2,80,1019,4,5,Rain
7,4,81,1010,6,3,Rain
4,3,86,1008,9,5,Rain
3,-2,77,1016,9,3,No Rain
0,-2,75,1016,7,2,No Rain
2,1,88,1014,5,2,Rain
3,-1,82,1018,6,2,No Rain
2,-2,81,1028,5,2,No Rain
0,-4,81,1030,5,2,No Rain
0,-4,79,1026,5,2,No Rain
2,-5,67,1024,7,3,No Rain
0,-4,76,1023,7,2,Rain
0,-1,96,1020,1,2,No Rain
4,0,81,1020,6,2,Rain
1,-2,82,1017,7,2,No Rain
1,-1,86,1021,7,3,No Rain
0,-3,84,1023,8,2,No Rain
-1,-3,83,1017,6,2,No Rain
1,-1,85,1009,4,2,No Rain
7,-1,57,1006,9,11,No Rain
7,1,72,1016,10,5,Rain
3,-1,81,1022,9,2,No Rain
2,-2,85,1016,4,2,No Rain
1,-3,79,1012,5,2,No Rain
4,1,76,1015,7,2,No Rain
4,2,84,1017,6,2,Rain
3,1,86,1017,8,3,Rain
2,0,90,1022,8,2,Rain
2,-4,70,1027,8,3,No Rain
-1,-10,54,1024,10,5,No Rain
0,-7,63,1021,8,2,No Rain
1,-7,58,1020,9,3,No Rain
3,-8,46,1021,10,5,No Rain
0,-10,50,1026,10,3,No Rain
1,-8,57,1025,7,2,No Rain
1,-6,63,1024,5,2,Rain
6,-4,60,1019,6,3,No Rain
7,-3,57,1021,7,2,No Rain
4,-4,59,1025,7,3,No Rain
4,-4,59,1025,7,3,No Rain
4,-3,65,1017,6,3,No Rain
4,-4,60,1015,7,3,No Rain
4,-4,54,1014,9,2,Rain
8,2,71,1008,9,5,Rain
6,1,70,1009,10,3,Rain
7,-2,56,1016,10,5,No Rain
7,-3,55,1023,10,3,No Rain
6,-4,53,1024,9,5,No Rain
7,-1,58,1019,8,3,No Rain
6,5,90,1009,6,5,Rain
4,2,88,1015,9,3,Rain
6,1,77,1018,10,2,No Rain
6,2,74,1016,10,2,No Rain
8,3,71,1013,9,2,No Rain
8,-1,60,1012,10,3,No Rain
7,-1,61,1010,8,5,No Rain
7,-2,58,1009,9,6,No Rain
10,-1,52,1008,10,6,Rain
7,1,66,1011,10,3,No Rain
8,2,64,1014,9,3,No Rain
8,0,58,1012,10,5,Rain
4,-3,61,1016,10,5,No Rain
4,-1,69,1016,9,2,Rain
10,6,75,1009,10,3,Rain
12,2,54,1008,10,8,Rain
10,2,58,1013,10,3,Rain
11,7,80,1014,9,3,Rain
9,6,77,1010,9,3,Rain
10,6,81,1002,10,5,Rain
7,-3,55,1013,10,5,No Rain
8,-2,54,1014,10,3,No Rain
10,-1,53,1014,10,5,No Rain
8,-2,52,1016,10,5,No Rain
10,2,55,1013,10,6,Rain
11,5,68,1011,10,5,Rain
11,4,75,1009,10,5,Rain
10,3,67,1012,10,3,No Rain
9,1,63,1016,10,3,No Rain
12,2,51,1015,10,5,No Rain
13,2,47,1015,10,5,No Rain
14,1,40,1014,8,8,No Rain
10,1,50,1016,10,3,No Rain
14,2,48,1013,10,5,Rain
18,2,44,1007,9,13,Rain
13,1,45,1013,10,13,No Rain
14,-1,44,1020,10,5,No Rain
16,1,43,1016,10,8,No Rain
14,2,40,1015,10,5,No Rain
19,7,51,1009,10,8,Rain
14,7,66,1008,10,11,Rain
